,time,count
701,54690.92880846333,0.8648545
702,54690.92937870639,0.7455102
703,54690.93010709759,0.7149176
704,54690.93070346333,0.8227703
705,54690.931478914725,0.6238501
706,54690.932109470275,0.968672
707,54690.93270293093,0.743043
708,54690.93320931982,1.179778
709,54690.933775211015,0.5116014
710,54690.93461969018,0.9643455
711,54690.935247965645,0.5846256
712,54690.9358182087,1.495383
713,54690.93642186611,0.6744784
714,54690.98705061611,0.8192176
715,54690.98762812768,0.9126204
716,54690.988325974904,0.8574029
717,54690.98873205129,1.421713
718,54690.989193463334,0.8051908
719,54690.98974518787,1.070014
720,54690.99019662305,1.207768
721,54690.990878336015,0.5761785
722,54690.991654956386,0.6988805
723,54690.99229132213,1.022264
724,54690.99274838231,1.122978
725,54690.99326493324,0.7859365
726,54690.99390046565,0.7640864
727,54690.99461083602,0.722507
728,54690.9952064263,0.6946334
729,54690.9958288337,0.9838687
730,54690.99640487537,0.9121476
731,54690.99715609065,0.5832575
732,54690.99782511842,0.8733631
733,54690.99840136842,1.028561
734,54690.99891219018,0.7054497
735,54690.9997214263,0.793644
736,54691.51612624111,0.9087303
737,54691.51673710917,0.7310255
738,54691.51735958602,0.8520881
739,54691.51802994481,0.7417869
740,54691.51855810454,0.966616
741,54691.51930826657,0.6347002
742,54691.519833521204,0.9958872
743,54691.52051838231,0.6834266
744,54691.521155373055,0.6812206
745,54691.52191568555,0.9034911
746,54691.52261444713,0.9546633
747,54691.584938417036,0.6098416
748,54691.58583886843,0.6945498
749,54691.586464863794,0.9957537
750,54691.58710619481,0.6750589
751,54691.587792514256,0.7022016
752,54691.58852874111,0.6522122
753,54691.65314259528,0.7156343
754,54691.653887444816,0.8460807
755,54691.65488345176,0.6622973
756,54691.716663023515,0.8552348
757,54691.7173373175,0.8519628
758,54691.71814209759,0.7211846
759,54691.718836194814,0.6657332
760,54691.71964715546,0.7767039
761,54691.720521275834,0.5890845
762,54691.72193964389,0.4510447
763,54691.78332413463,0.6189098
764,54691.78416280361,0.8739435
765,54691.78480124111,0.8032165
766,54691.78540340546,0.8656562
767,54691.78625948185,0.546892
768,54691.787035766574,0.8565183
769,54691.78786136842,0.5343236
770,54691.78852302352,0.9347764
771,54691.789213694814,0.5552155
772,54692.18772607907,0.7402666
773,54692.18838047722,0.7218532
774,54692.18979083602,0.4385581
775,54692.25427253741,0.7953061
776,54692.25506187769,0.6318287
777,54692.255691611485,0.9428691
778,54692.256186391576,1.196601
779,54692.25689678509,0.8456869
780,54692.31957117167,0.9210112
781,54692.3201966925,0.8808248
782,54692.320980778146,0.6855949
783,54692.32175850963,0.6515044
784,54692.322470940184,0.9959437
785,54692.323286403145,0.6089844
786,54692.32394237537,0.719673
787,54693.39147929667,0.6282517
788,54693.39225121796,0.7199752
789,54693.392975268885,0.4853475
790,54693.39419845176,0.6056237
791,54693.39511403046,0.6637154
792,54693.39594979435,0.5847314
